order_id,product_category,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Kota/Kabupaten,Provinsi,source_file,order_year,order_month,order_date
ORD_0000001,Celengan,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-01 00:15:00,Saldo ShopeePay,1,0.0,0.0,1000 gr,0.0,10.0,38.300,10.0,KOTA SERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000002,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 01:47:00,COD (Bayar di Tempat),1,0.0,0.0,500 gr,0.0,14.5,18.576,14.5,KOTA SEMARANG,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000003,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 04:25:00,SeaBank Bayar Instan,1,0.0,0.0,500 gr,0.0,8.0,7.069,8.0,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000004,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 04:41:00,COD (Bayar di Tempat),2,0.0,0.0,400 gr,0.0,20.0,32.200,20.0,KOTA JAMBI,JAMBI,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000005,Other,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0.0,1200 gr,0.0,0.0,0,8.0,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000005,Tempat Nasi,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0.0,1200 gr,0.0,0.0,0,8.0,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000005,Keranjang,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0.0,1200 gr,0.0,0.0,0,8.0,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000006,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 07:09:00,SPayLater,2,0.0,0.0,1000 gr,0.0,10.0,40.996,10.0,KAB. BANDUNG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000007,Nampan / Tray,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 07:23:00,SPayLater,1,0.0,0.0,1700 gr,0.0,0.0,0,16.0,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000008,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 07:33:00,Online Payment,1,0.0,0.0,500 gr,0.0,8.0,18.280,8.0,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
ORD_0000009,Celengan,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-J&T Economy,2024-04-01 07:56:00,Online Payment,1,0.0,0.0,500 gr,0.0,0.0,0,16.5,KAB. GARUT,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01
