order_id,product_category,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Kota/Kabupaten,Provinsi,source_file,order_year,order_month,order_date,net_quantity
ORD_0000001,Celengan,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-01 00:15:00,Saldo ShopeePay,1,0.0,0,1000.0,0,100,38300,100,KOTA SERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000002,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 01:47:00,COD (Bayar di Tempat),1,0.0,0,500.0,0,145,18576,145,KOTA SEMARANG,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000003,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 04:25:00,SeaBank Bayar Instan,1,0.0,0,500.0,0,80,7069,80,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000004,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 04:41:00,COD (Bayar di Tempat),2,0.0,0,400.0,0,200,32200,200,KOTA JAMBI,JAMBI,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000005,Other,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0,1200.0,0,0,0,80,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000005,Tempat Nasi,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0,1200.0,0,0,0,80,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000005,Keranjang,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 06:12:00,COD (Bayar di Tempat),1,0.0,0,1200.0,0,0,0,80,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000006,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 07:09:00,SPayLater,2,0.0,0,1000.0,0,100,40996,100,KAB. BANDUNG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000007,Nampan / Tray,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 07:23:00,SPayLater,1,0.0,0,1700.0,0,0,0,160,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000008,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 07:33:00,Online Payment,1,0.0,0,500.0,0,80,18280,80,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000009,Celengan,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-J&T Economy,2024-04-01 07:56:00,Online Payment,1,0.0,0,500.0,0,0,0,165,KAB. GARUT,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000010,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 08:27:00,Online Payment,1,0.0,0,2150.0,130,200,92800,330,KAB. TEGAL,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000010,Aksesoris Mandi,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 08:27:00,Online Payment,1,0.0,0,2150.0,130,200,92800,330,KAB. TEGAL,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000010,Keranjang,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 08:27:00,Online Payment,1,0.0,0,2150.0,130,200,92800,330,KAB. TEGAL,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000011,Celengan,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,2024-04-01 09:02:00,COD (Bayar di Tempat),2,0.0,0,1000.0,0,0,0,530,KAB. SIAK,RIAU,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000012,Celengan,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,2024-04-01 10:24:00,COD (Bayar di Tempat),1,0.0,0,500.0,0,0,0,120,KAB. SUKABUMI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000013,Toples / Sealware,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-01 10:26:00,COD (Bayar di Tempat),1,0.0,0,1200.0,0,160,32200,160,KAB. PANDEGLANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000014,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 10:54:00,COD (Bayar di Tempat),2,0.0,0,400.0,0,80,30000,80,KOTA BEKASI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000015,Mangkok Sambal / Saus,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-01 12:36:00,COD (Bayar di Tempat),5,0.0,0,1000.0,0,0,0,220,KAB. KARANGANYAR,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,5.0
ORD_0000016,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 12:41:00,Saldo ShopeePay,1,0.0,0,500.0,0,80,24000,80,KAB. BEKASI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000017,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 12:44:00,Saldo ShopeePay,1,0.0,0,500.0,0,80,20800,80,KOTA DEPOK,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000018,Other,Selesai,Tidak Dibatalkan,Instant (Versi Lama)-SPX Instant (Versi Lama),2024-04-01 12:51:00,Saldo ShopeePay,1,0.0,0,7000.0,230,200,124000,430,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000019,Peralatan Kamar Mandi,Selesai,Tidak Dibatalkan,Agen SPX Express,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0.0,0,600.0,30,200,35112,230,KAB. LAMPUNG UTARA,LAMPUNG,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000019,Celengan,Selesai,Tidak Dibatalkan,Agen SPX Express,2024-04-01 13:07:00,COD (Bayar di Tempat),1,0.0,0,600.0,30,200,35112,230,KAB. LAMPUNG UTARA,LAMPUNG,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000020,Nampan / Tray,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 13:46:00,COD (Bayar di Tempat),1,0.0,0,400.0,0,80,14187,80,KAB. TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000021,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 13:51:00,COD (Bayar di Tempat),3,0.0,0,1000.0,0,150,79000,150,KAB. SUBANG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,3.0
ORD_0000021,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 13:51:00,COD (Bayar di Tempat),2,0.0,0,1000.0,0,150,79000,150,KAB. SUBANG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000022,Rak / Rak Serbaguna,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal,Hemat Kargo-SPX Hemat,2024-04-01 13:53:00,COD (Bayar di Tempat),1,0.0,0,1400.0,0,0,0,1110,KAB. BONE,SULAWESI SELATAN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000023,Rak / Rak Serbaguna,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 14:01:00,COD (Bayar di Tempat),1,0.0,0,1700.0,40,400,72760,440,KOTA BENGKULU,BENGKULU,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000024,Keranjang,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 14:53:00,COD (Bayar di Tempat),1,0.0,0,200.0,0,80,6200,80,KOTA JAKARTA TIMUR,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000025,Nampan / Tray,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 15:25:00,COD (Bayar di Tempat),15,0.0,0,3000.0,310,200,134640,510,KAB. SUBANG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,15.0
ORD_0000026,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Agen SPX Express,2024-04-01 15:27:00,COD (Bayar di Tempat),10,0.0,0,2000.0,60,400,163240,460,KAB. LAMPUNG TIMUR,LAMPUNG,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,10.0
ORD_0000027,Toples / Sealware,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 15:52:00,COD (Bayar di Tempat),1,0.0,0,1200.0,0,80,42600,80,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000028,Keranjang,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 16:09:00,Saldo ShopeePay,1,0.0,0,300.0,0,80,11000,80,KAB. TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000029,Keranjang,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 19:31:00,Online Payment,2,0.0,0,600.0,0,80,20000,80,KAB. BEKASI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,2.0
ORD_0000030,Celengan,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-01 20:41:00,Saldo ShopeePay,1,0.0,0,500.0,0,95,18000,95,KAB. TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000031,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-01 21:23:00,COD (Bayar di Tempat),1,0.0,0,200.0,180,0,33000,180,KAB. KEBUMEN,JAWA TENGAH,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000032,Toples / Sealware,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,2024-04-01 21:32:00,COD (Bayar di Tempat),4,0.0,0,4010.0,0,0,0,320,KOTA JAKARTA BARAT,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,4.0
ORD_0000032,Perlengkapan Packing,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Hemat Kargo-SPX Hemat,2024-04-01 21:32:00,COD (Bayar di Tempat),1,0.0,0,4010.0,0,0,0,320,KOTA JAKARTA BARAT,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-01,1.0
ORD_0000033,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-02 03:05:00,Kartu Kredit/Debit,6,0.0,0,1200.0,0,190,68500,190,KAB. LUMAJANG,JAWA TIMUR,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-02,6.0
ORD_0000034,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-02 05:47:00,COD (Bayar di Tempat),1,0.0,0,500.0,100,0,27000,100,KAB. KARAWANG,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-02,1.0
ORD_0000035,Plastik / Wadah Plastik,Batal,Dibatalkan secara otomatis oleh sistem. Alasan: Penjual tidak mengatur pengiriman tepat waktu,Instant (Versi Lama)-GrabExpress Instant (Versi Lama),2024-04-08 16:05:00,SPayLater,3,0.0,0,600.0,0,0,0,340,KOTA TANGERANG,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,3.0
ORD_0000036,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Reguler (Cashless)-J&T Express,2024-04-08 16:50:00,COD (Bayar di Tempat),1,0.0,0,200.0,78499,0,98239,78499,KAB. KEPULAUAN SIAU TAGULANDANG BIARO (SITARO),SULAWESI UTARA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,1.0
ORD_0000037,Other,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-08 19:15:00,Saldo ShopeePay,1,0.0,0,1100.0,80,0,50000,80,KOTA JAKARTA SELATAN,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,1.0
ORD_0000037,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-08 19:15:00,Saldo ShopeePay,1,0.0,0,1100.0,80,0,50000,80,KOTA JAKARTA SELATAN,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,1.0
ORD_0000038,Plastik / Wadah Plastik,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-08 19:49:00,COD (Bayar di Tempat),2,1.0,0,4000.0,160,200,130540,360,KOTA SUKABUMI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,1.0
ORD_0000039,Rak / Rak Serbaguna,Batal,Dibatalkan oleh Pembeli. Alasan: Need to change delivery address,Reguler (Cashless)-J&T Express,2024-04-08 22:06:00,COD (Bayar di Tempat),1,0.0,0,700.0,0,0,0,400,KAB. SIDENRENG RAPPANG/RAPANG,SULAWESI SELATAN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,1.0
ORD_0000040,Stempel / Alat Kantor,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Reguler (Cashless)-SPX Standard,2024-04-08 23:45:00,Online Payment,2,0.0,0,100.0,0,0,0,200,KAB. GRESIK,JAWA TIMUR,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-08,2.0
ORD_0000041,Stempel / Alat Kantor,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 00:00:00,Saldo ShopeePay,3,0.0,0,150.0,0,195,121540,195,KAB. GRESIK,JAWA TIMUR,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,3.0
ORD_0000042,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 00:22:00,COD (Bayar di Tempat),1,0.0,0,500.0,80,0,29912,80,KOTA JAKARTA BARAT,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000043,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 01:45:00,SPayLater,1,0.0,0,1000.0,80,0,46147,80,KAB. BEKASI,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000044,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 02:45:00,Online Payment,1,0.0,0,500.0,80,0,27000,80,KOTA TANGERANG SELATAN,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000045,Mangkok Sambal / Saus,Batal,Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada,Hemat Kargo-SPX Hemat,2024-04-09 08:47:00,COD (Bayar di Tempat),2,0.0,0,400.0,0,0,0,332,KAB. LAMPUNG TENGAH,LAMPUNG,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,2.0
ORD_0000046,Mangkok Sambal / Saus,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 08:51:00,COD (Bayar di Tempat),2,0.0,0,400.0,32,300,35528,332,KAB. LAMPUNG TENGAH,LAMPUNG,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,2.0
ORD_0000047,Celengan,Selesai,Tidak Dibatalkan,Reguler (Cashless)-SPX Standard,2024-04-09 09:14:00,Saldo ShopeePay,1,0.0,0,500.0,100,0,28000,100,KOTA JAKARTA UTARA,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000048,Rak / Rak Serbaguna,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 10:49:00,COD (Bayar di Tempat),1,0.0,0,700.0,80,0,31000,80,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000049,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 12:30:00,Online Payment,2,0.0,0,1000.0,80,0,43800,80,KOTA JAKARTA BARAT,DKI JAKARTA,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,2.0
ORD_0000050,Celengan,Selesai,Tidak Dibatalkan,Hemat Kargo-SPX Hemat,2024-04-09 12:54:00,Online Payment,1,0.0,0,500.0,80,0,33000,80,KAB. BOGOR,JAWA BARAT,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
ORD_0000051,Celengan,Batal,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,Same Day-SPX Sameday,2024-04-09 13:13:00,Online Payment,1,0.0,0,500.0,0,0,0,285,KOTA TANGERANG SELATAN,BANTEN,AprilSales2024_public.xlsx,2024.0,4.0,2024-04-09,1.0
