provinsi,total_orders_all,cancelled_orders,total_revenue,total_orders,total_quantity,cancellation_rate,average_order_value,cluster,segment
JAWA BARAT,6664,754,275388979,5851,9856,11.314525810324131,47066.993505383696,1,Medium Potential
BANTEN,3617,433,176844990,3164,5751,11.971246889687587,55892.85398230088,1,Medium Potential
DKI JAKARTA,2899,361,134953842,2529,5613,12.452569851672992,53362.53143534994,1,Medium Potential
JAWA TENGAH,1496,188,99390647,1286,2799,12.566844919786096,77286.66174183515,0,Low Potential
JAWA TIMUR,1599,251,94724345,1326,2647,15.69731081926204,71436.15761689292,0,Low Potential
SUMATERA SELATAN,638,101,40548021,529,3269,15.830721003134796,76650.32325141777,0,Low Potential
LAMPUNG,486,69,21921758,413,839,14.19753086419753,53079.31719128329,0,Low Potential
BALI,198,35,21870690,161,333,17.67676767676768,135842.7950310559,0,Low Potential
SULAWESI SELATAN,258,58,19383132,194,770,22.48062015503876,99913.05154639175,0,Low Potential
SUMATERA UTARA,309,60,18084554,238,474,19.41747572815534,75985.52100840336,0,Low Potential
JAMBI,342,55,15447509,278,551,16.08187134502924,55566.57913669065,0,Low Potential
RIAU,336,61,14695301,263,555,18.154761904761905,55875.66920152091,0,Low Potential
NUSA TENGGARA BARAT (NTB),105,29,13047395,76,122,27.61904761904762,171676.25,0,Low Potential
KALIMANTAN BARAT,215,40,11838671,165,373,18.6046511627907,71749.52121212121,0,Low Potential
SUMATERA BARAT,279,52,10865432,218,464,18.63799283154122,49841.43119266055,0,Low Potential
KALIMANTAN SELATAN,152,31,9663700,112,253,20.394736842105264,86283.03571428571,0,Low Potential
DI YOGYAKARTA,252,28,9324869,220,451,11.11111111111111,42385.76818181818,0,Low Potential
KALIMANTAN TIMUR,133,37,9260385,92,210,27.819548872180448,100656.35869565218,0,Low Potential
BENGKULU,141,23,6552717,117,223,16.312056737588655,56006.1282051282,0,Low Potential
KALIMANTAN TENGAH,134,33,6281221,93,215,24.62686567164179,67540.01075268818,0,Low Potential
BANGKA BELITUNG,126,16,6206914,109,208,12.698412698412698,56944.16513761468,0,Low Potential
NANGGROE ACEH DARUSSALAM (NAD),131,32,5388096,93,206,24.427480916030532,57936.51612903226,0,Low Potential
SULAWESI TENGGARA,32,6,4442572,24,76,18.75,185107.16666666666,0,Low Potential
KEPULAUAN RIAU,74,17,3386735,53,120,22.972972972972975,63900.660377358494,0,Low Potential
SULAWESI UTARA,41,13,3109713,27,70,31.70731707317073,115174.55555555556,0,Low Potential
SULAWESI TENGAH,56,17,3019246,36,62,30.357142857142854,83867.94444444444,0,Low Potential
MALUKU,20,6,2241295,14,29,30.0,160092.5,0,Low Potential
GORONTALO,52,11,1928835,38,48,21.153846153846153,50758.81578947369,0,Low Potential
NUSA TENGGARA TIMUR (NTT),24,5,1714411,18,45,20.833333333333336,95245.05555555556,0,Low Potential
MALUKU UTARA,9,2,1401836,7,20,22.22222222222222,200262.2857142857,0,Low Potential
KALIMANTAN UTARA,12,3,1173574,9,25,25.0,130397.11111111111,0,Low Potential
SULAWESI BARAT,16,3,1139349,13,33,18.75,87642.23076923077,0,Low Potential
PAPUA,1,0,165000,1,3,0.0,165000.0,0,Low Potential
PAPUA BARAT,1,0,145000,1,6,0.0,145000.0,0,Low Potential
