product_category,total_revenue,total_orders,total_quantity,returned_quantity,average_order_value,return_rate,cluster,segment
Aksesoris ID Card,3811887,56,165,6.0,68069.41071428571,3.6363636363636362,0,Low Performance
Aksesoris Mandi,2431569,46,203,3.0,52860.19565217391,1.477832512315271,0,Low Performance
Aksesoris Motor,114362,1,1,0.0,114362.0,0.0,0,Low Performance
Aksesoris Pintu,45790439,2654,4007,11.0,17253.36812358704,0.27451959071624654,1,Medium Performance
Bangku / Kursi Kecil,5360572,141,151,3.0,38018.24113475177,1.9867549668874174,0,Low Performance
Baskom / Mangkok Besar,52934477,636,1322,17.0,83230.30974842767,1.2859304084720122,0,Low Performance
Botol / Gelas / Mug,18345774,371,988,16.0,49449.525606469004,1.6194331983805668,0,Low Performance
Celengan,170519545,5188,6506,13.0,32868.069583654586,0.19981555487242544,1,Medium Performance
Cobek / Ulekan,4243019,41,41,1.0,103488.26829268293,2.4390243902439024,0,Low Performance
Gantungan Baju / Hanger,7669111,115,169,7.0,66687.92173913044,4.142011834319527,0,Low Performance
Gayung,2086747,70,108,1.0,29810.67142857143,0.9259259259259258,0,Low Performance
Keranjang,29784025,585,1155,20.0,50912.86324786325,1.7316017316017316,0,Low Performance
Lunch Box / Rantang,62233318,453,2386,43.0,137380.39293598235,1.802179379715004,0,Low Performance
Mangkok,2087451,35,67,0.0,59641.45714285714,0.0,0,Low Performance
Mangkok Sambal / Saus,151273597,3398,6994,18.0,44518.421718658035,0.25736345438947666,1,Medium Performance
Nampan / Tray,119156085,1288,8455,66.0,92512.48835403727,0.7806031933767001,1,Medium Performance
Other,70509623,729,1034,21.0,96721.01920438958,2.0309477756286265,0,Low Performance
Pengolah Bumbu / Sayur,9494231,118,132,1.0,80459.58474576271,0.7575757575757576,0,Low Performance
Peralatan Kamar Mandi,6140326,222,249,1.0,27659.126126126128,0.4016064257028112,0,Low Performance
Peralatan Makan,24726446,305,574,4.0,81070.31475409836,0.6968641114982579,0,Low Performance
Perkakas,954464,9,14,0.0,106051.55555555556,0.0,0,Low Performance
Perlengkapan Packing,31730533,275,430,5.0,115383.75636363636,1.1627906976744187,0,Low Performance
Piring,12842586,155,758,14.0,82855.3935483871,1.8469656992084433,0,Low Performance
Pisau / Alat Potong,9713262,135,278,3.0,71950.08888888889,1.079136690647482,0,Low Performance
Plastik / Wadah Plastik,13632696,208,327,7.0,65541.80769230769,2.1406727828746175,0,Low Performance
Pot Tanaman / Bunga,59178,2,2,0.0,29589.0,0.0,0,Low Performance
Rak / Rak Serbaguna,37703391,462,477,2.0,81609.07142857143,0.41928721174004197,0,Low Performance
Sapu / Pembersih Lantai,5934663,85,97,3.0,69819.56470588235,3.0927835051546393,0,Low Performance
Saringan / Strainer,20336121,375,514,6.0,54229.656,1.1673151750972763,0,Low Performance
Seal / Baut / Roof,285248949,576,1899,2.0,495223.8697916667,0.105318588730911,2,Best Seller
Sikat / Pembersih,3680798,61,108,1.0,60340.95081967213,0.9259259259259258,0,Low Performance
Spatula,5483987,67,84,3.0,81850.55223880598,3.571428571428571,0,Low Performance
Stempel / Alat Kantor,8009780,96,168,6.0,83435.20833333333,3.571428571428571,0,Low Performance
Talenan,2342329,33,35,0.0,70979.66666666667,0.0,0,Low Performance
Teko / Jug,12635825,200,252,8.0,63179.125,3.1746031746031744,0,Low Performance
Tempat Nasi,15361989,408,518,4.0,37651.93382352941,0.7722007722007722,0,Low Performance
Tempat Sampah,168212,2,2,0.0,84106.0,0.0,0,Low Performance
Toples / Sealware,9469648,152,240,7.0,62300.31578947369,2.9166666666666665,0,Low Performance
